date,dom_pax,int_pax,pax,dom_flt,int_flt,flt,dom_rpm,int_rpm,rpm,dom_asm,int_asm,asm,dom_lf,int_lf,lf,fuel_spot_price,transformed_price,monthly_nomial_gdp,monthly_real_gdp
2004-04-01,0.8936022541190249,0.8257155790431714,0.8816557668814271,0.9393864361382107,0.8884291598604057,0.9365159802443639,0.8635729849980853,0.8250693921709695,0.8476611213216136,0.7834038473825746,0.7927302273443582,0.7664640450107942,0.8215168466241707,0.8225976768743403,0.8332226795910237,0.973,-0.027314635136665252,12036.129399998,15311.2355322634
2004-05-01,0.8923211899927361,0.8297294870351277,0.8810570178909494,0.9526483940983059,0.9008309737023095,0.9500312920701042,0.8606501767082904,0.8408601704320784,0.8504618251809877,0.7932431405750737,0.8158622587007525,0.7828423889192724,0.7981006894757383,0.8206365967717605,0.8148984198645598,1.092,0.08859909057076379,12175.7527728664,15446.457899303
2004-06-01,0.914203372132925,0.8529967949241142,0.9032387901285972,0.9556742435090335,0.9101580521742436,0.9539951466776859,0.8884867592318129,0.8631973378215951,0.8770008213718299,0.8012706284509825,0.8239894945933619,0.7915528928152522,0.8803174190191234,0.9111479861215871,0.8978887265967336,1.032,0.03157379605651848,12126.5628272292,15344.8742191096
2004-07-01,0.9281548978259968,0.878391917092245,0.9188844277939063,0.9840014849722767,0.9401086226268145,0.9834256848906175,0.9057402322298662,0.8781323591865866,0.8938008491055198,0.8285738920613408,0.8448632664527826,0.8181900721039241,0.8999609730714193,0.9129582139085836,0.9134245120169965,1.145,0.13680026445685287,12279.4067271947,15483.1066039018
2004-08-01,0.9164622729602554,0.8722439465983336,0.9078952073457067,0.9936411423056448,0.9320748542388189,0.9908972579738862,0.8946839875558004,0.8728825201065065,0.8844264738938943,0.8327316298585732,0.8435303750670045,0.8201763295815709,0.8549499154416549,0.8888218434152965,0.8737219492763245,1.227,0.20776896981374982,12300.4766601507,15520.6497865371
2004-09-01,0.8596986064276431,0.8149790845848499,0.8506473681232682,0.9405940424534389,0.8645773470951679,0.9345585975164692,0.8278852660279199,0.8388092957370898,0.8271906082420806,0.7553515533178814,0.8103076623553651,0.7565381274870493,0.7461948744633798,0.8302911449690754,0.7777187624485461,1.362,0.31628432307904997,12336.0376126749,15536.1532122735
2004-10-01,0.8988150033951614,0.8243783714722808,0.8860537105631412,0.9760181703585147,0.8776821892244122,0.9680507461619321,0.8633765298514291,0.8407954926859538,0.8523484139164879,0.8009866125396687,0.816497641973057,0.7880138652156816,0.7961493430467024,0.8179212550912659,0.8127738680122162,1.52,0.4322489581848995,12471.3984880896,15653.3624004442
2004-11-01,0.8850217812427781,0.8144842879880216,0.8727067554296921,0.941245900083624,0.8755679114836661,0.9365206358250493,0.8486168882819323,0.821623851408193,0.836004606776692,0.7759895857538037,0.799420868138145,0.7646411452331705,0.7832704566150644,0.7808115854578369,0.7948479617580666,1.347,0.30469011060290396,12514.8695430188,15649.6127498527
2004-12-01,0.8900548717349528,0.8400308874612303,0.8804678324644009,0.9550948512071944,0.9057665365335268,0.9528817411723853,0.8595324397409385,0.8428104955085756,0.8503040488056071,0.8060533463215815,0.8223864055600689,0.793840647700021,0.7768960582802135,0.8069090360537036,0.7956446687026955,1.223,0.20440191070204444,12595.3739689024,15711.7224747945
2005-01-01,0.8616570753083064,0.8442703388335269,0.8565572404062367,0.9301767380663382,0.9131787815441821,0.9316779790559373,0.8349022154565819,0.8436337380160777,0.8336142011862737,0.7777341576422874,0.8273508451965323,0.7783914635667895,0.7382593989852999,0.7933323276512295,0.7637763909175407,1.334,0.2945528067106766,12747.9499889591,15854.6735708076
2005-02-01,0.8558402399224017,0.819184452775422,0.8478762717348065,0.8882482478690026,0.8818614725935623,0.8899173025961957,0.823965750246213,0.8111239894248445,0.8153970310296046,0.7341564939605103,0.7960665903920887,0.7367523216345209,0.7621959151814753,0.7402323125659979,0.7700172619838002,1.334,0.2945528067106766,12751.0565790126,15826.03465454
2005-03-01,0.9241462897473545,0.8715294054279705,0.9144369184305754,0.980367050847839,0.934517525359134,0.9793981618045287,0.8945279402000121,0.8669338661399313,0.8824064995764118,0.824735771947573,0.8369787009345879,0.8121766898328442,0.8662677247300639,0.8812792276361442,0.8806267427964415,1.562,0.4613470339909323,12802.8514320607,15855.5737892266
2005-04-01,0.9029776450020597,0.8524066573865259,0.8934018703318376,0.9566946510814365,0.9220152157157089,0.9565466111205279,0.8713526642294784,0.8525978415971345,0.8616720304649457,0.7971064125959018,0.8337964785484662,0.7934464594587531,0.827761155197086,0.8164127319354352,0.836940645332625,1.573,0.4688581195729588,12859.272586774,15896.6650693788
2005-05-01,0.9161579543243592,0.8587857995723631,0.9057285845841454,0.9855552668990519,0.9315164091757837,0.9836045691779436,0.8838986947810179,0.8682294179060355,0.8754446868709946,0.8183407890430097,0.8479608114905224,0.8132638208002358,0.8393391440093665,0.846583195052044,0.8526092152436596,1.471,0.39742576685826425,12881.944232779,15863.3669982714
2005-06-01,0.928718246796433,0.8765278452537659,0.9191046685031168,0.9777692979970745,0.9397209050462494,0.9778232617950362,0.9026131178650667,0.8849991100426196,0.893876301551356,0.8207422999826477,0.8541581184952403,0.8176794389579882,0.9007415116430337,0.9150701463267462,0.9147523569247112,1.654,0.5228344240081054,13026.7511803686,16010.3219467765
2005-07-01,0.9421223474351548,0.8985573782736211,0.9338876288112283,0.9969279644005766,0.9643890899045489,0.9984429971833606,0.9199181332682969,0.8998285376166684,0.9107014100744042,0.8469800914108969,0.8737915445590492,0.8432552268068658,0.9225965916482375,0.9212550912656511,0.9326782631788605,1.665,0.529990552550323,13096.07470494,16037.2241193118
2005-08-01,0.9255568273866253,0.8855553930290911,0.9176933319963574,1.0,0.9564228066267382,1.0,0.9044882582496845,0.8903511619425197,0.8969479892989725,0.8416282786064748,0.868740944403009,0.8375296558420668,0.8756341875894369,0.8879167295217983,0.8896560881689018,1.874,0.6588654875901105,13153.2108993707,16078.0739691548
2005-09-01,0.8779546810204124,0.8360319450401517,0.8694111399781717,0.9368137454071217,0.8963395560786251,0.9352679142398639,0.8483641926768932,0.8582188933417534,0.8477683694379028,0.7670733771242269,0.8403331872821873,0.7780137341912479,0.7947183556654093,0.8218434152964248,0.8135705749568449,2.232,0.8536681075497812,13178.6403956961,16029.5149314782
2005-10-01,0.896377898123073,0.8337757449457168,0.8851317744623879,0.9508732098595463,0.8917265702261301,0.9472383825879565,0.8642244897215434,0.8508095705113479,0.8561451273120779,0.7871531715275601,0.8344474547484326,0.7875671246644558,0.8183946923377131,0.8046462513199578,0.8271145930155358,2.398,0.9351056716559204,13235.1239543549,16064.1585313004
2005-11-01,0.8907902467109725,0.8249498787668785,0.8790961520657321,0.9214529508621769,0.8813447412002406,0.9195232427727351,0.8590604650169036,0.8317243433998498,0.8464848678740768,0.7695837913077934,0.8086620656380701,0.7647079852958925,0.8262000780538572,0.7993664202745513,0.8320276191740804,1.698,0.5512207626304235,13300.2918263408,16112.9084392004
2005-12-01,0.8909925504026681,0.8526244946533992,0.8830572058880382,0.9255350050660223,0.9155737860226849,0.9278898917595875,0.8661383416730528,0.8542498581975275,0.8585919985047097,0.7928544734196841,0.8362679284993302,0.7919590663418195,0.8165734356706128,0.8159601749886861,0.8284424379232506,1.727,0.569590436934033,13437.1962192935,16235.147391802
2006-01-01,0.8674006202408426,0.8528985592407747,0.8628061701181728,0.9106219515150507,0.9209730116223835,0.9154339488045213,0.844500918017582,0.8517587545871739,0.8429225082424612,0.7720536919061924,0.8399063695867364,0.7808594105879827,0.775595160660856,0.7900135767084026,0.7916611339795512,1.816,0.6243765812497517,13517.4460830571,16315.4871114123
